time	PosT	PosL
0.000000	-2.58591204467838e-08	0.0
0.005000	-2.58591204467838e-08	0.0
0.010000	-2.58591204467838e-08	0.0
0.015000	-2.58591204467838e-08	0.0
0.020000	-2.58591204467838e-08	0.0
0.025000	1.28473659796883e-07	0.0
0.030000	-4.88857461177783e-07	0.0
0.035000	-1.8019190069045e-07	0.0
0.040000	1.28473659796883e-07	0.0
0.045000	-7.97523021665116e-07	0.0
0.050000	-9.51855801908782e-07	0.0
0.055000	2.44346536345188e-06	0.0
0.060000	3.06079648442654e-06	0.0
0.065000	1.05447034125888e-06	0.0
0.070000	-2.64951638458911e-06	0.0
0.075000	-2.58591204467838e-08	0.0
0.080000	1.05447034125888e-06	0.0
0.085000	-1.41485414263978e-06	0.0
0.090000	-4.88857461177783e-07	0.0
0.095000	-3.34524680934117e-07	0.0
0.100000	-4.81017530800044e-06	0.0
0.105000	-1.8019190069045e-07	0.0
0.110000	3.21512926467021e-06	0.0
0.115000	1.36313590174621e-06	0.0
0.120000	5.37578818808154e-06	0.0
0.125000	1.98046702272088e-06	0.0
0.130000	-8.51416203384843e-06	0.0
0.135000	4.75845706710687e-06	0.0
0.140000	1.67180146223355e-06	0.0
0.145000	2.90646370418288e-06	0.0
0.150000	-8.82282759433577e-06	0.0
0.155000	1.26294288595339e-05	0.0
0.160000	9.6971060349042e-06	0.0
0.165000	-7.58816535238644e-06	0.0
0.170000	1.07774354966099e-05	0.0
0.175000	-3.42118028580744e-06	0.0
0.180000	-1.87785248337078e-06	0.0
0.185000	-7.7424981326301e-06	0.0
0.190000	-8.2054964733611e-06	0.0
0.195000	7.3821143312492e-06	0.0
0.200000	6.76478321027454e-06	0.0
0.205000	-5.73617198946244e-06	0.0
0.210000	-1.03661553967724e-05	0.0
0.215000	-2.90404218062561e-05	0.0
0.220000	-6.3535031104371e-06	0.0
0.225000	-1.26811471004274e-05	0.0
0.230000	7.8451126719802e-06	0.0
0.235000	4.91278984735054e-06	0.0
0.240000	1.71050794866002e-05	0.0
0.245000	-1.34528110016458e-05	0.0
0.250000	-1.71567977274938e-05	0.0
0.255000	-1.54591371448134e-05	0.0
0.260000	2.60563807407328e-05	0.0
0.265000	2.03460678717172e-05	0.0
0.270000	3.06079648442654e-06	0.0
0.275000	1.75680778273312e-05	0.0
0.280000	-2.42561056187024e-05	0.0
0.285000	-1.08291537375034e-05	0.0
0.290000	-2.84230906852814e-05	0.0
0.295000	-3.57551306605111e-06	0.0
0.300000	4.99779616785011e-05	0.0
0.305000	-3.07380823889364e-05	0.0
0.310000	7.8451126719802e-06	0.0
0.315000	2.00374023112298e-05	0.0
0.320000	1.05447034125888e-06	0.0
0.325000	-3.72984584629478e-06	0.0
0.330000	-4.50910309515974e-05	0.0
0.335000	-2.62624317618701e-05	0.0
0.340000	-2.39474400582151e-05	0.0
0.345000	-3.41334035542971e-05	0.0
0.350000	8.17705144086964e-05	0.0
0.355000	9.38844047441686e-06	0.0
0.360000	-8.51416203384843e-06	0.0
0.365000	-4.50910309515974e-05	0.0
0.370000	-2.49518360434545e-06	0.0
0.375000	3.60880114565711e-05	0.0
0.380000	-2.08607844533417e-05	0.0
0.385000	4.82803010958208e-05	0.0
0.390000	-0.000122411753853674	0.0
0.395000	9.92101185762307e-05	0.0
0.400000	-1.03661553967724e-05	0.0
0.405000	-8.42915571334886e-05	0.0
0.410000	-1.79284616287121e-05	0.0
0.415000	7.8451126719802e-06	0.0
0.420000	-4.23130409072114e-05	0.0
0.425000	-4.81776865564707e-05	0.0
0.430000	1.64877483656255e-05	0.0
0.435000	2.55933824000018e-05	0.0
0.440000	1.51746868198988e-06	0.0
0.445000	-5.11884086848777e-06	0.0
0.450000	1.92657384100115e-05	0.0
0.455000	-5.34250010847554e-05	0.0
0.460000	9.61234629713574e-05	0.0
0.465000	7.59058687594371e-05	0.0
0.470000	6.94238919892031e-05	0.0
0.475000	-4.1078378665262e-05	0.0
0.480000	-8.3674226012514e-05	0.0
0.485000	3.19210263899922e-05	0.0
0.490000	-9.29341928271339e-05	0.0
0.495000	1.41727566619705e-05	0.0
0.500000	2.17350628939102e-05	0.0
0.505000	-0.00010327448910346	0.0
0.510000	6.75718986262791e-05	0.0
0.515000	-3.66027280381957e-05	0.0
0.520000	0.000134706658032274	0.0
0.525000	8.40855061123514e-05	0.0
0.530000	-6.19917033019344e-06	0.0
0.535000	0.000105229097005734	0.0
0.540000	7.93011899247977e-05	0.0
0.545000	-2.71884284433321e-05	0.0
0.550000	-4.8023353776227e-05	0.0
0.555000	3.74770064787641e-05	0.0
0.560000	-2.30214433767531e-05	0.0
0.565000	6.89608936484721e-05	0.0
0.570000	1.54074189039199e-05	0.0
0.575000	-0.000109139134752719	0.0
0.580000	7.3821143312492e-06	0.0
0.585000	0.000150294268836884	0.0
0.590000	0.000218046359363854	0.0
0.595000	0.000235022965190657	0.0
0.600000	-1.51504715843261e-05	0.0
0.605000	1.38640911014832e-05	0.0
0.610000	-3.49050674555154e-05	0.0
0.615000	6.75718986262791e-05	0.0
0.620000	-2.42561056187024e-05	0.0
0.625000	-5.88266483932837e-05	0.0
0.630000	-6.8858279109122e-05	0.0
0.635000	-7.45685919781376e-05	0.0
0.640000	7.69077989173654e-06	0.0
0.645000	0.000104148767544028	0.0
0.650000	3.52379482515754e-06	0.0
0.655000	-2.73427612235757e-05	0.0
0.660000	-0.000108367470851501	0.0
0.665000	-4.9875347139151e-05	0.0
0.670000	0.00018208682156708	0.0
0.675000	-9.24711944864029e-05	0.0
0.680000	0.000120353709469613	0.0
0.685000	0.000285952782671067	0.0
0.690000	-1.03661553967724e-05	0.0
0.695000	-7.91985753854476e-05	0.0
0.700000	-0.000326902687676532	0.0
0.705000	-0.000260693924951999	0.0
0.710000	8.94871534208797e-05	0.0
0.715000	-1.87785248337078e-06	0.0
0.720000	-0.000140005690801452	0.0
0.725000	3.22296919504795e-05	0.0
0.730000	-4.87950176774454e-05	0.0
0.735000	7.55972031989497e-05	0.0
0.740000	0.000144892621528356	0.0
0.745000	0.000261413870612324	0.0
0.750000	-0.000143092346406326	0.0
0.755000	0.000338117262393426	0.0
0.760000	-0.000269182227865401	0.0
0.765000	3.00690330270682e-05	0.0
0.770000	6.88065608682284e-05	0.0
0.775000	-6.34566318005937e-05	0.0
0.780000	-0.0001437096775273	0.0
0.785000	0.000136095653054467	0.0
0.790000	9.75124579935504e-05	0.0
0.795000	-0.000183527534830166	0.0
0.800000	9.38084712677024e-05	0.0
0.805000	0.000341049585218056	0.0
0.810000	-0.000110219464214425	0.0
0.815000	0.000135169656373005	0.0
